Location,Rating,Comment,Transaction Date and Time,Transaction Value,feedback_id,,
Botany  ,5,"RIGHT TEMPERATURE,EXCELLENT TASTE,QUICK SERVICE.",23/10/2024 1:20:00 PM,$4.50,4978520,,
Nelson ,5,Staff,23/10/2024 11:44:00 AM,$52.20,4978523,,
Gisborne  ,5,Great service and cheerful staff,23/10/2024 9:32:00 AM,$45.98,4978524,,
Rangiora,3,It seems that once again though the coffee tasted good it was not a cappuccino. The amount of foam/froth was no’s existent. Basically a flat white with chocolate and little more,23/10/2024 1:16:00 PM,$10.00,4978525,,
Glenfield ,5,Staff are very friendly and nice.,23/10/2024 11:33:00 AM,$10.50,4978529,,
MT Wellington  ,5,The service at our table this morning was great . The staff that were on duty had great customer service skills too. Thank you,23/10/2024 9:28:00 AM,$4.50,4978531,,
Gisborne  ,5,"Good coffee, food and service in a great location",23/10/2024 10:12:00 AM,$18.00,4978534,,
Gate Pa ,4,I had a voucher that expired the day before I went so it was just a few hours out as we visited in the morning I was hoping it would take at least a day to withdraw it but no such luck it was just tough luck and no empathy can you resend,23/10/2024 9:58:00 AM,$15.10,4978535,,
Rangiora,5,Great service nice atmosphere,23/10/2024 12:10:00 PM,$5.50,4978538,,
Nelson  ,4,"No one else at counter and had to wait some time to be served , so more atte tion to waiting customers would be my recommendation",20/10/2024 8:18:00 AM,$9.20,4978540,,
Invercargill,5,Love E Hayes!! Love the cafe and the amazing service!!!,23/10/2024 11:37:00 AM,$18.50,4978541,,
Palmerston Nth ,5,"Great location, friendly staff, beaut scones, and the bonus 2 free coffees :)",23/10/2024 9:22:00 AM,$9.60,4978546,,
Ashburton ,3,"The area I sat had had food product left on the seats in terms of crumbs etc. The service could be a little more friendly at times. There is also a variation of how my coffee is prepared/made, i.e. when I order a cappuccino etc, there is a difference in quality and actual taste ranging from very milky to vary dark",23/10/2024 10:07:00 AM,$0.00,4978547,,
Nelson  ,5,"The pleasant garden setting on a lovely spring day, and enjoyable coffee and food.",23/10/2024 11:52:00 AM,$15.20,4978548,,
Domain,5,"Great coffee, efficient and friendly service",23/10/2024 8:44:00 AM,$10.80,4978549,,
Petone  ,4,?,23/10/2024 10:28:00 AM,$0.00,4978554,,
Te Rapa  ,5,Service and food great,23/10/2024 11:52:00 AM,$11.00,4978556,,
Botany ,5,Always very friendly. Lovely coffee.,23/10/2024 2:13:00 PM,$4.00,4978559,,
Glen Eden,4,Cheaper coffee prices. I think $5.80 for a mocha is getting a bit steep.,22/10/2024 7:51:00 AM,$11.60,4978561,,
Porirua  ,5,"Great coffee, good service.",23/10/2024 9:39:00 AM,$4.50,4978562,,
Masterton  ,4,Have the staff member who delivered our food be more friendly and polite,23/10/2024 10:31:00 AM,$4.20,4978563,,
Invercargill  ,5,Always feel comfortable there and made to feel welcome.,23/10/2024 9:08:00 AM,$5.30,4978564,,
Glenfield ,5,Efficient and Friendly service,23/10/2024 7:37:00 AM,$8.30,4978565,,
Riccarton,5,Two free birthday coffees. Friendly and fast service. Yummy muffin. Thanks!,23/10/2024 8:04:01 AM,$5.50,4978566,,
Wanganui  ,5,The great service and the salmon roulette was lovely and light.,23/10/2024 10:20:00 AM,$13.30,4978567,,
Whangarei  ,4,Squid rings weren’t cooked crispy enough were a bit doughy,23/10/2024 10:56:00 AM,$43.00,4978568,,
Palmerston Nth ,5,"Superb coffee, lovely food, and a nice atmosphere",23/10/2024 11:11:00 AM,$13.80,4978569,,
Warkworth  ,5,"Great service and a beautiful cheese scone for morning tea, with excellent coffee.??",23/10/2024 9:11:00 AM,$15.50,4978571,,
Rotorua  ,2,"I am a regular customer and bring our Body Corp People for Brunch, plus our Church music group at times for Coffee.
It is the ABCs Cafe in Mitre 10, Rotorua. I have never had a Barista tell me that an Americano is one shot .and I would have to pay 80 cents more for a two shot. I could have a Long Black that’s two shots.
My son is a Barista and he tells me that both a Long Black and an Americano are two shots but made differently.
Then this woman at the counter said, my friend could not have an iced coffee, it was not included in the Birthday “bring a friend”. And she could only have a small Flat White! I was embarrassed and disappointed at the treatment given, by this new staff member.
I would not recommend ABCs Mitre 10 at the moment. My experience was not a good one. Kind regards, Phillipa Norman.",21/10/2024 10:47:00 AM,$5.50,4978573,,
Levin  ,5,Meals could be a little quicker being delivered and can I suggest that hot chocolates not be served in a glass. I like my drinks hot and by the time the glass cools down the liquid is tepid. Although it looks nice it is impracticle to handle. Otherwise the staff were lovely and very cheerful when I asked for the drink to be put into a cup it was done so with good grace. Cheers,23/10/2024 11:32:00 AM,$8.50,4978574,,
Palmerston Nth,5,The service and friendliness of the staff. Coffee always good love their date scones,23/10/2024 10:45:00 AM,$8.80,4978580,,
Gate Pa ,5,great food great service,23/10/2024 12:45:00 PM,$35.00,4978588,,
Taupo  ,5,Service and my very nice creamy mushroom on ciabatta bun,23/10/2024 8:59:00 AM,$24.80,4978590,,
Taupo  ,5,Love the food and the friendly staff.,23/10/2024 9:16:00 AM,$12.40,4978591,,
Te Awamutu  ,5,Excellent coffee and service ??,23/10/2024 1:39:00 PM,$5.30,4978592,,
Bethlehem,5,Friendly staff and good coffee,22/10/2024 9:19:00 AM,$9.50,4978595,,
Greymouth  ,4,Clean the tables,22/10/2024 10:08:00 AM,$28.30,4978597,,
Rangiora,5,The staff at ABCs Coffee Rangiora are amazing so welcoming and friendly and the food is fantastic.,23/10/2024 9:24:00 AM,$18.10,4978598,,
Palmerston Nth,5,Lovely customer service and great coffee,22/10/2024 7:51:00 AM,$4.72,4978603,,
Pakuranga,5,"The chef has very good recipes , both savoury and sweet and the staff are very welcoming and hospitable. They recently lit a candle for my birthday and played birthday music !!! Amazing !!!",23/10/2024 12:25:00 PM,$9.70,4978607,,
Rotorua  ,4,I don't know,23/10/2024 11:46:00 AM,$0.00,4978608,,
Masterton  ,4,"There’s always room for improvement. My grandson loves a fluffy one of which he had today but sadly it had no sprinkles / choc on it , served in a white cup,white fluffy, white marshmallow he enjoyed it but just an example of the presentation.",23/10/2024 9:08:00 AM,$16.30,4978610,,
Domain,5,Always fantastic service,23/10/2024 9:14:00 AM,$13.30,4978615,,
Westgate  ,5,Great coffee. Friendly staff. Nice scones.,23/10/2024 9:23:00 AM,$9.80,4978616,,
Levin  ,5,friendly service,23/10/2024 9:52:00 AM,$17.80,4978617,,
Invercargill  ,5,Food and coffee were really good and we enjoyed our 2 hour lunch very much.,23/10/2024 10:56:00 AM,$16.10,4978618,,
Warkworth  ,4,Didn't like the way you made the iced coffee. Service was excellent,23/10/2024 12:28:00 PM,$6.00,4978620,,
Whangarei  ,5,"greated by franchisee when going to table, fast prompt service, clean safe enviroment, good choice of food, great parking",23/10/2024 10:39:00 AM,$44.30,4978621,,
Wellington central,5,Food and coffee were great.,23/10/2024 11:11:00 AM,$5.30,4978622,,
Rosebank Road,5,"The overall experience was smooth and the staff knew what and how the drinks are made. She made sure what we wanted and the alternatives to go with. Overall, the drinks were exactly how we wanted.",23/10/2024 2:38:00 PM,$14.50,4978623,,
Te Rapa  ,4,Bring back the date scones please.,23/10/2024 9:42:00 AM,$16.60,4978624,,
Masterton  ,5,The staff and coffee,23/10/2024 9:38:00 AM,$12.60,4978628,,
Aubyn  ,5,Love there coffee's and the staff ????,19/10/2024 10:35:00 AM,$9.70,4978630,,
Nelson  ,5,Excellent friendly and efficient customer service and good food.,23/10/2024 9:45:00 AM,$97.60,4978631,,
Ashburton ,5,"Friendly helpful staff, and always great coffee ??????",23/10/2024 8:24:01 AM,$15.93,4978632,,
Rangiora,5,Good was teally nice... friendly staff too,23/10/2024 11:29:00 AM,$42.30,4978633,,
Botany  ,4,"Be fully staffed. Not the fault of team members today who did a great job with only 2 staff for the day. I realised they were short handed and asked, because I've managed a cafe mysel.",23/10/2024 12:43:00 PM,$18.80,4978634,,
Westgate  ,5,Always wonderful service and great food and coffee!,22/10/2024 11:13:00 AM,$14.00,4978637,,
Bethlehem,5,Lovely service,23/10/2024 2:22:00 PM,$21.40,4978638,,
Napier  ,5,Food was great and so was the service,22/10/2024 10:41:00 AM,$37.90,4978644,,
Invercargill,5,"I was remembered by a lovely young staff member from when I went there a couple of weeks ago. I went with 2 friends and we were treated perfectly. We were all very impressed - it was lovely and quiet, no loud raucous music and very happy with the food. We all decided we would be going back very soon.",23/10/2024 1:14:00 PM,$10.70,4978645,,
Gate Pa ,5,"Lovely friendly service, great coffee",22/10/2024 9:56:00 AM,$5.30,4978649,,
Levin  ,5,Very nice people,23/10/2024 12:39:00 PM,$17.50,4978650,,
Ashburton ,5,"awesome staff, great coffee and food",23/10/2024 9:01:00 AM,$21.00,4978651,,
Hornby  ,5,Great coffee and service,22/10/2024 11:53:00 AM,$0.00,4978653,,
Kapiti  ,4,Not so strong coffee,22/10/2024 12:00:00 PM,$22.50,4978655,,
Gate Pa ,5,Good coffee. Lovely service.,23/10/2024 9:08:00 AM,$10.60,4978659,,
Warkworth  ,5,The service the friendly staff,23/10/2024 11:00:00 AM,$24.50,4978660,,
New Lynn  ,5,Always quick pleasant service!!!,23/10/2024 10:10:00 AM,$4.50,4978662,,
Rotorua,5,staff were friendly. drinks came in a timely fashion. food was great.,23/10/2024 9:46:00 AM,$30.60,4978664,,
Marlborough  ,5,"We always get excellent service, delicious food,smiles, and clean tables. Thanks so much.",23/10/2024 10:35:00 AM,$29.80,4978666,,
Kapiti  ,5,"Coffee, scone and service was great and love that the cafe looks out to all the beautiful plants",23/10/2024 9:37:00 AM,$9.40,4978667,,
Ashburton ,4,Larger cups for takeaway coffees,23/10/2024 8:34:01 AM,$19.17,4978670,,
Aubyn  ,5,The food cabinet looked very appetising plenty of choices of food and great service from the lovely girls.??,23/10/2024 12:55:00 PM,$10.80,4978671,,
Richmond,5,lovely service and good food,22/10/2024 10:06:00 AM,$9.50,4978672,,
Te Awamutu  ,4,The Person serving could have smiled and look more friendly,23/10/2024 10:13:00 AM,$8.80,4978673,,
Albany ,5,Good service and food,23/10/2024 2:23:00 PM,$3.50,4978674,,
Hornby  ,4,We found the food choices a little too elaborate but understand this is probably due to our age and that we prefer simpler food these days. Very nice coffee thank you.,23/10/2024 10:44:00 AM,$31.50,4978675,,
Albany  ,4,N/A,22/10/2024 10:03:00 AM,$1.60,4978677,,
Marlborough  ,5,The servicewas great and the coffee was delicious,22/10/2024 10:13:00 AM,$17.60,4978679,,
Rangiora,5,"A very full cabinet, with a lot of gluten free choice",23/10/2024 9:42:00 AM,$19.00,4978680,,
Papanui  ,5,"Prompt service which was friendly. Drinks made to perfection. Nice to see staff enjoying their job, happy and communicating together.",23/10/2024 6:21:00 AM,$8.80,4978681,,
Westgate  ,2,We normally would go on a Saturday morning and we always enjoy it and a great cup of earl grey tea and good service. Today aprox 2ish not Impressed at all. Tea was weak and service not the best. If we had nothing to compare it with we wouldn't be returning.,23/10/2024 12:53:00 PM,$21.00,4978682,,
Ferryhead,5,Prompt service & nice scones,23/10/2024 10:12:00 AM,$17.20,4978683,,
Masterton  ,5,Good coffee and quick service,23/10/2024 10:02:00 AM,$10.80,4978691,,
Masterton  ,5,A very pleasant lunch,23/10/2024 11:29:00 AM,$54.50,4978693,,
Palmerston Nth ,4,A bit more selection in the cabinet.,22/10/2024 9:00:00 AM,$5.30,4978696,,
New Lynn  ,5,Don't have to walk through the shop to get to the cafe. Staff are very pleasant and friendly. Everything was clean.,22/10/2024 11:31:00 AM,$15.00,4978697,,
Oamaru  ,3,The smoothie had a weird after taste.,22/10/2024 11:11:00 AM,$23.00,4978699,,
Levin  ,5,The dste and orange scones. Always good service and great coffee.,23/10/2024 11:31:00 AM,$4.50,4978702,,
Whangarei  ,2,Coffee was lovely as well as the staff but sadly our savoury scone tasted like baking powder. Not enjoyable at all sorry.,23/10/2024 8:25:01 AM,$14.00,4978703,,
Greymouth  ,4,Very little food in cabnets,23/10/2024 1:53:00 PM,$14.10,4978704,,
Dunedin  ,5,"The atmosphere is great, the assortment of food is of a high standard. You feel you can linger over your coffee and don't feel rushed, will always recommend this cafe",23/10/2024 10:36:00 AM,$10.20,4978705,,
Taupo  ,5,Such a great vibe and nice food.,23/10/2024 11:09:00 AM,$28.60,4978707,,
New Plymouth  ,5,"Nice coffee and food, quick service.",23/10/2024 9:24:00 AM,$9.80,4978708,,
Palmerston Nth,4,THE REASON WHY I LIKE GOING TO COL0MBUS COFFEE THAT THE STAFF ARE PLEASENT AND THE COFFEE IS VERY NICE AND THE MANGERS BRENT AND VICKI MAKE YOU SO WONDERFUL TO SEE YOU,20/10/2024 9:47:00 AM,$39.40,4978709,,
Te Awamutu  ,5,"The food at the cafe is always very good, and your coffee is about the best in town, plus your staff are always great and so helpful.",23/10/2024 11:57:00 AM,$40.40,4978710,,
Kapiti  ,5,Wonderful customer service,23/10/2024 7:22:00 AM,$4.50,4978712,,
Wanganui  ,5,The staff at the Wanganui store are fantastic and the food is to die for. Our favorite lunch destination.,23/10/2024 10:52:00 AM,$49.50,4978713,,
Albany  ,3,The beef burger was hot but the ro?l itself was cold. It didnt feel right,22/10/2024 10:35:00 AM,$29.00,4978717,,
Wanganui  ,5,"Great tasting coffee, great service, nice atmosphere",23/10/2024 10:36:00 AM,$19.80,4978718,,
Ellerslie ,5,"Friendly staff, great long black coffee, and a complimentary news paper. We go to ABCs Ellerslie 6 days per week. My partner and I.",19/10/2024 7:31:00 AM,$12.00,4978719,,
Auckland Central,5,Nice,20/10/2024 10:10:00 AM,$10.75,4978721,,
Upper Hutt,4,"4 stars is pretty good by me - a good cafe with reliably good good food, drinks and service. For 5 stars, though, I'd need to feel like I'm a regular who basically belongs, as opposed to someone who is just being served.",23/10/2024 7:00:00 AM,$4.50,4978722,,
Kerikeri,3,Nice and friendly but received wrong order but didn't know until I got back to work. Still enjoyed it .,23/10/2024 12:01:00 PM,$8.00,4978723,,
Wanganui  ,5,The Manager and staff were extremely courteous a nd pleasant and responsive to our requests.,22/10/2024 10:26:00 AM,$5.40,4978724,,
Napier  ,5,"It was super busy and yet the staff were friendly, efficient and on top of it. We'll done!",23/10/2024 9:30:00 AM,$27.40,4978726,,
Porirua  ,5,Good polite service,23/10/2024 9:31:00 AM,$4.50,4978727,,
Timaru,5,Great friendly faces as usual and the coffee is worth the loyalty,22/10/2024 7:23:00 AM,$12.40,4978729,,
Broadway,4,Price,23/10/2024 9:06:00 AM,$4.50,4978730,,
Rotorua  ,5,My bagel.... so simple but do tasty,23/10/2024 11:50:00 AM,$18.30,4978734,,
Ashburton ,5,Quick freindly service,23/10/2024 9:58:00 AM,$5.30,4978735,,
Palmerston Nth ,5,Great good and drinks,23/10/2024 10:06:00 AM,$14.50,4978736,,
Nelson  ,5,Great food. Happy atmosphere.,23/10/2024 11:44:00 AM,$29.80,4978739,,
Sylvia Park ,5,great customer service!,23/10/2024 9:21:00 AM,$28.50,4978742,,
Oamaru  ,5,Food and service,23/10/2024 10:05:00 AM,$8.50,4978743,,
Cambridge  ,5,Staff are always friendly. Coffee was great,23/10/2024 9:57:00 AM,$29.00,4978746,,
Richmond,4,even bigger bowls than wot you got.,23/10/2024 6:32:00 AM,$7.10,4978748,,
Ellerslie ,1,My free birthday coffee had expired. And the food was very average.,23/10/2024 11:49:00 AM,$24.80,4978750,,
Napier  ,5,The staff were very friendly despite being incredibly busy.,23/10/2024 9:49:00 AM,$16.50,4978752,,
Kapiti  ,4,We were well looked after at a busy time but there didn’t seem to be enough staff to make sure tables were cleared promptly ready for the next lot of people.,23/10/2024 10:10:00 AM,$19.80,4978754,,
Napier  ,5,I was impressed on the way the staff handled the pressure when busy busy i will continue to go to ABCs for coffee ????,23/10/2024 9:19:00 AM,$11.80,4978755,,
Sylvia Park ,5,Super friendly staff who are very good at remembering their customers. Always makes my day when I come in! And amazing coffee!,23/10/2024 9:35:00 AM,$12.77,4978757,,
New Lynn  ,5,Excellent fast and friendly service,24/10/2024 6:28:00 AM,$10.70,4978760,,
Taupo  ,5,Good service and good food,21/10/2024 7:06:00 AM,$19.08,4978764,,
Gate Pa ,4,Perhaps a little quicker,20/10/2024 8:23:00 AM,$5.80,4978766,,
Kapiti  ,5,The savoury muffin was delicious and the coffee is always good.,19/10/2024 10:39:00 AM,$15.60,4978767,,
Broadway,5,"Happy staff, clean premises and quick service",23/10/2024 9:31:00 AM,$15.80,4978769,,
Warkworth  ,5,Very friendly service and allows us to take our little dogs on a leash and to sit outside,23/10/2024 12:15:00 PM,$10.40,4978772,,
Wanganui  ,5,Fabulous food and lovely staff members.,21/10/2024 9:14:00 AM,$23.30,4978773,,
Oamaru  ,5,Always yummy coffee which is ALWAYS hot!,24/10/2024 7:06:00 AM,$4.00,4978774,,
Newtown,4,"Have the kitchen"" operating as couldnt get a toasted sandwich at 1.00pm on Friday. Lunchtime & at keast 2 staff there in the smaller Newtown cafe. Didnt make sense as could have a filled croissant from cabinet toasted",tkmolloy@gmail.com,"$231,020,131,234.00",MTKPDCF,4978775,
Kapiti  ,5,Lovely staff,23/10/2024 7:22:00 AM,$4.50,4978776,,
Glen Eden,5,Very things good in coffee shop,24/10/2024 6:57:00 AM,$5.30,4978777,,
Newtown,5,Great service. Friendly staff,24/10/2024 7:16:00 AM,$15.50,4978778,,
Glenfield ,5,"The staff are so lovely, the food is alway fantastic and they always make the best ginernut latte.
I work one road over from the Glenfield ABCs at a tyre store and I always recommend our customers go there when they are waiting for their cars, or ask about places to eat and get coffee. I think the Glenfield mitre 10 ABCs is the best one I have ever been to.",24/10/2024 7:03:00 AM,$24.00,4978780,,
Napier  ,5,Good coffee. Great food. Excellent service,23/10/2024 9:33:00 AM,$20.80,4978781,,
Wanganui  ,5,"Great, friendly prompt personalalised service, great coffee, fresh tasty food and things for morning tea and lunch.",23/10/2024 9:30:00 AM,$6.50,4978782,,
Bethlehem,5,Friendly efficient staff and great food.,23/10/2024 10:38:00 AM,$15.00,4978786,,
Richmond,5,We come every sat morning for breakfast great food great company and top smiley service.,24/10/2024 7:10:00 AM,$36.70,4978788,,
Wanganui  ,5,"full bodied, just the right temperature,",23/10/2024 9:59:00 AM,$13.50,4978790,,
Napier  ,5,Food and service was great,23/10/2024 8:40:01 AM,$41.60,4978791,,
Pakuranga,5,Friendly service with a smile - the cheese scones a favourite !,23/10/2024 11:07:00 AM,$4.05,4978792,,
Sylvia Park ,5,Always made welcome and it is great coffee,24/10/2024 6:59:00 AM,$9.30,4978793,,
Timaru,5,"Good coffee, friendly staff",24/10/2024 7:44:00 AM,$5.30,4978794,,
Oamaru  ,5,Excellent quality of food & exceptional service.,24/10/2024 7:56:00 AM,$49.30,4978795,,
Timaru,5,"Food cabinet looked great, & the coffee was awesome!",24/10/2024 7:56:00 AM,$12.20,4978797,,
Masterton  ,5,5,24/10/2024 8:08:00 AM,$10.60,4978798,,
Glenfield ,5,It is always good.,24/10/2024 8:06:00 AM,$4.00,4978799,,
Gate Pa ,5,Your staff is great but you need new Fresh food,23/10/2024 1:19:00 PM,$18.00,4978800,,
Kapiti  ,4,Different cabinet food options,24/10/2024 7:38:00 AM,$25.40,4978802,,
Richmond,5,"Hugo was amazing plus other staff kind and friendly and Crystal the chef just awesome and Keto .
sold there which I sampled lovely.
Many thanks to the above mentioned named staff!!!",23/10/2024 8:59:00 AM,$9.80,4978803,,
Ruakura  ,5,Coffee is consistently good,24/10/2024 8:22:00 AM,$11.10,4978804,,
Albany  ,5,Patrick’s kindness to my elderly mother in law,23/10/2024 9:54:00 AM,$11.00,4978805,,
Papanui  ,5,Staff are always happy and helpful,24/10/2024 8:08:00 AM,$15.80,4978806,,
Queenstown  ,4,Coffee. The milk needs to be textured more.,23/10/2024 12:26:00 PM,$39.60,4978807,,
Aubyn  ,5,always friendly know our order now without us asking nothing too much trouble for them,20/10/2024 9:31:01 AM,$4.50,4978808,,
Wanganui  ,5,"Great place, cool staff",24/10/2024 8:16:00 AM,$5.30,4978810,,
Henderson  ,5,"The staff and service are always superb here at M10 Colombus, Lincoln Rd",24/10/2024 8:39:00 AM,$9.00,4978812,,
Westgate  ,5,awesome service and chat so great to catch up,24/10/2024 7:52:00 AM,$44.30,4978813,,
Wellington central,5,"Always friendly and welcoming, great service and great coffee!",23/10/2024 7:03:00 AM,$0.00,4978814,,
Levin  ,5,Staff recognise customers and know their standard requests. Great,24/10/2024 8:39:00 AM,$22.00,4978816,,
Rotorua  ,4,"nice staff,nice food",23/10/2024 9:06:00 AM,$4.50,4978817,,
Nelson ,5,The great service,24/10/2024 8:54:00 AM,$26.30,4978820,,
Cambridge  ,5,Service. Quality coffee,24/10/2024 8:55:00 AM,$9.70,4978821,,
Warkworth  ,5,"Good environment, friendly staff",24/10/2024 8:54:00 AM,$27.40,4978823,,
Albany  ,4,Always room for improvement,24/10/2024 8:55:00 AM,$38.50,4978824,,
Levin  ,4,Food needs to be warmed through properly not nuk’d to scolding hot and then spoilt,24/10/2024 8:35:00 AM,$27.50,4978825,,
Bethlehem,5,Great friendly service.,24/10/2024 8:07:00 AM,$33.50,4978826,,
Palmerston Nth,5,"Great coffee, friendly service!!",24/10/2024 8:25:00 AM,$11.40,4978827,,
Warkworth  ,5,The spicy chai latte was delicious and the ladies on the counter are amazing,24/10/2024 8:51:00 AM,$10.40,4978828,,
Timaru,5,Food was great!,24/10/2024 8:36:00 AM,$40.30,4978830,,
Taupo  ,5,"The staff & the menu - fantastic food + the place is always clean, with lots of light",24/10/2024 8:50:00 AM,$33.10,4978833,,
Timaru,5,Friendly and efficient service from the staff,24/10/2024 8:48:00 AM,$11.10,4978834,,
Albany ,5,Amazing iced choc,24/10/2024 9:26:00 AM,$12.00,4978835,,
Te Rapa  ,5,Great staff and coffee,23/10/2024 8:18:01 AM,$11.10,4978836,,
Richmond,5,Staff remember my face and my order! I consider them all friends and appreciate their smiles. Great cheese scones and fabulous coffee every time ??,24/10/2024 9:08:00 AM,$9.00,4978837,,
New Lynn  ,5,Amazing service.Very clean and nice place,24/10/2024 9:03:00 AM,$26.00,4978839,,
Te Rapa  ,5,Friendly service,24/10/2024 9:36:00 AM,$0.00,4978841,,
Palmerston Nth,5,"Variety of cabinet food, friendly staff",24/10/2024 8:59:00 AM,$11.10,4978842,,
Whangarei  ,5,"Lovely food, clean and tidy, and friendly staff.",24/10/2024 7:52:00 AM,$12.00,4978843,,
Riccarton,5,I’m empress your The Who take my order...she’s nice,24/10/2024 8:33:00 AM,$33.00,4978844,,
New Plymouth  ,4,Not a lot,24/10/2024 8:04:00 AM,$51.40,4978845,,
Porirua  ,4,"2 butters with the scones was a nice treat. Always recommend, nothing is perfect! Nice place for coffee.",23/10/2024 9:30:00 AM,$18.00,4978846,,
Ashburton ,5,"Friendly service, knows their regulars",24/10/2024 9:53:00 AM,$8.00,4978847,,
New Lynn  ,5,The food was excellent.,24/10/2024 8:44:00 AM,$62.30,4978848,,
Palmerston Nth ,4,Not overheating the scones,24/10/2024 9:46:00 AM,$11.20,4978850,,
Queenstown  ,4,Nothing,24/10/2024 9:33:01 AM,$18.50,4978852,,
Hastings  ,5,Friendly efficient service. Great food choices.,24/10/2024 8:49:00 AM,$15.50,4978853,,
Gisborne  ,5,Lovely fast service great coffee and yummy food,24/10/2024 9:50:00 AM,$17.00,4978855,,
MT Wellington  ,5,"It's peaceful, private and i love sitting out overlooking the flowers and plants of the garden centre.",23/10/2024 11:52:00 AM,$12.00,4978857,,
Queen Street,5,Good coffee and we've always liked the kitchen food.,24/10/2024 9:07:00 AM,$0.00,4978858,,
Crofton Downs  ,5,The lady who served me alsi gave my girls 2 kids packs for free - very generous!,24/10/2024 9:40:00 AM,$9.00,4978859,,
Rotorua,5,Lovely staff. Perfect cake and coffee.,24/10/2024 10:02:00 AM,$11.30,4978860,,
Westgate  ,5,Lovely place to have brunch,24/10/2024 8:12:00 AM,$47.90,4978861,,
Ashburton ,5,The date and orange scone was delicious and also the coffee.,24/10/2024 9:13:00 AM,$4.90,4978862,,
Hornby  ,5,Love the rosti that the Eggs Benedict is served on. Coffee is always perfect,24/10/2024 10:12:00 AM,$49.30,4978863,,
Upper Hutt,5,The whole experience was great,24/10/2024 10:17:00 AM,$53.20,4978864,,
Ferryhead,5,"Good service, good food and coffee.",24/10/2024 8:29:00 AM,$10.00,4978865,,
Timaru,5,Its always goid and grwat dtaff,24/10/2024 7:37:00 AM,$10.10,4978866,,
Wanganui  ,5,"Coffee is always consistant, never too hot (or cold). Barister Becky"" is excellent at what she does and friendly yet professional.""",24/10/2024 8:34:00 AM,$0.00,4978867,,
Botany ,5,"The coffee was the best I have had from a cafe for a long time, lovely flavour!!!",23/10/2024 7:40:00 AM,$4.50,4978868,,
Nelson ,5,"Great service! Great food! Great coffee! Our treat occasionally, couldn't start the holiday weekend without it!",24/10/2024 8:36:00 AM,$57.60,4978869,,
Auckland Central,5,Pleasant service and nice food.,24/10/2024 10:16:00 AM,$10.80,4978870,,
Riccarton,4,Coffee neededto be better - not as good as usual,24/10/2024 9:12:00 AM,$16.80,4978871,,
Masterton  ,5,Great service - great coffee,24/10/2024 8:23:00 AM,$11.10,4978872,,
Masterton  ,4,Faster service ??,23/10/2024 11:11:00 AM,$17.50,4978874,,
Napier  ,5,Food and relaxin cafe,24/10/2024 7:51:00 AM,$27.20,4978875,,
Te Rapa  ,5,Awesome person,24/10/2024 9:47:00 AM,$12.00,4978876,,
Albany  ,5,"Always great coffee and excellent, friendly service.",24/10/2024 9:24:00 AM,$17.10,4978877,,
Papanui  ,5,Having sparkling water freely availabe while waiting for coffee and breakfast.,24/10/2024 7:11:00 AM,$28.00,4978880,,
New Plymouth  ,5,food and service,24/10/2024 8:37:00 AM,$37.70,4978882,,
Invercargill  ,5,"Food good, coffee and environment. And absolutely amazing staff.",24/10/2024 10:25:00 AM,$33.60,4978883,,
Palmerston Nth ,5,"Lovely coffee, lovely atmosphere.",24/10/2024 8:37:00 AM,$15.40,4978884,,
Masterton  ,5,Service was excellent,24/10/2024 10:49:00 AM,$15.50,4978885,,
Albany  ,5,The atmospher and the garden centre outside and the very friendly staff.,24/10/2024 8:19:00 AM,$11.00,4978886,,
Ruakura  ,5,Always good friendly service an good coffee,24/10/2024 10:44:00 AM,$12.70,4978887,,
Ferryhead,5,Good friendly service and tasty food,22/10/2024 12:19:00 PM,$55.90,4978889,,
Botany  ,5,Coffee quality and friendly service.,24/10/2024 9:04:00 AM,$10.30,4978890,,
Masterton  ,5,The friendly staff and lovely food.,24/10/2024 9:02:00 AM,$8.70,4978891,,
Levin  ,5,Your beautiful spring/ summer menu the chicken salad was the best salad I have had,23/10/2024 10:32:00 AM,$50.40,4978893,,
Sylvia Park ,3,I just had coffee. It was very bitter. There was no sweetener on any of the tables and was delivered with the coffee,24/10/2024 8:07:00 AM,$3.40,4978894,,
Westgate  ,4,-,24/10/2024 10:27:00 AM,$0.00,4978895,,
Albany ,5,"Food, coffee and service and view were excellent at the Cafe in the Albany Westfield Mall",23/10/2024 2:53:00 PM,$16.00,4978896,,
Papanui  ,5,"Great food, good service",24/10/2024 10:06:00 AM,$19.30,4978897,,
Ashburton ,4,Scone to be hotter,24/10/2024 10:23:00 AM,$20.30,4978898,,
Oamaru  ,5,"Good food, great service",24/10/2024 8:16:00 AM,$29.30,4978899,,
Upper Hutt,4,Have clean tables,24/10/2024 10:04:00 AM,$46.60,4978900,,
Aubyn  ,5,"LOVELY FOOD, FRIENDLY STAFF ALWAYS MAKE YOU WELCOME. EXCELLENT SERVICE YOU CAN'T ASK FOR MUCH MORE.",24/10/2024 9:18:00 AM,$9.00,4978901,,
Palmerston Nth,5,"fantastic service by all the team, coffee extra hot as asked for.",24/10/2024 8:21:00 AM,$16.60,4978902,,
MT Wellington  ,5,Great service and delicious coconut hot chocolate!! ??,24/10/2024 8:35:00 AM,$0.50,4978907,,
Invercargill  ,5,Always friendly service,24/10/2024 8:30:00 AM,$17.40,4978908,,
